"","vbgem15","layer","lon.GK3","lat.GK3","lon.WGS84","lat.WGS84","AGS","RS","GEN","NUTS","digit6","gem15","gem15rs","name15","vbgnam15","raumt2010besiedlung","raumt2010lage","fl15_sum","z_bev15","popDens15","Road14","Road15","Road16","Road984"
"172795",8436901,514406,4286350,2760050,9.53635137967799,47.9530624252628,"08436027","084365001027","Eichstegen","DE148","5",8436027,84365001027,"Eichstegen","GVV Altshausen","rural","peripher",130.51,11289,86.4991188414681,696.038462647765,0,0,0
"172837",8436901,514407,4287350,2760050,9.54973199428679,47.9531180518107,"08436093","084365001093","Ebersbach-Musbach","DE148","5",8436093,84365001093,"Ebersbach-Musbach","GVV Altshausen","rural","peripher",130.51,11289,86.4991188414681,0,1367.03260881987,0,0
"172779",8436901,514408,4288350,2760050,9.56311263506934,47.9531720495266,"08436093","084365001093","Ebersbach-Musbach","DE148","5",8436093,84365001093,"Ebersbach-Musbach","GVV Altshausen","rural","peripher",130.51,11289,86.4991188414681,0,1911.37866274822,0,0
"172780",8436901,514409,4289350,2760050,9.57649330124796,47.9532244184055,"08436093","084365001093","Ebersbach-Musbach","DE148","5",8436093,84365001093,"Ebersbach-Musbach","GVV Altshausen","rural","peripher",130.51,11289,86.4991188414681,0,2256.37622892804,0,0
"172794",8436901,514410,4290350,2760050,9.58987399204493,47.9532751584425,"08436093","084365001093","Ebersbach-Musbach","DE148","5",8436093,84365001093,"Ebersbach-Musbach","GVV Altshausen","rural","peripher",130.51,11289,86.4991188414681,0,2055.1964405488,0,0
"172283",8436008,514411,4291350,2760050,9.60325470668255,47.9533242696329,"08436008","084360008008","Aulendorf","DE148","0",8436008,84360008008,"Aulendorf, Stadt","Aulendorf, Stadt","suburban","peripher",52.34,9988,190.829193733282,0,1912.08193574435,0,0
"172278",8436008,514412,4292350,2760050,9.61663544438308,47.9533717519721,"08436008","084360008008","Aulendorf","DE148","0",8436008,84360008008,"Aulendorf, Stadt","Aulendorf, Stadt","suburban","peripher",52.34,9988,190.829193733282,0,1562.29928088493,0,0
"172258",8436008,514413,4293350,2760050,9.6300162043688,47.9534176054556,"08436008","084360008008","Aulendorf","DE148","0",8436008,84360008008,"Aulendorf, Stadt","Aulendorf, Stadt","suburban","peripher",52.34,9988,190.829193733282,0,3145.48341794214,0,653.248393068861
"172285",8436008,514414,4294350,2760050,9.64339698586194,47.9534618300791,"08436008","084360008008","Aulendorf","DE148","0",8436008,84360008008,"Aulendorf, Stadt","Aulendorf, Stadt","suburban","peripher",52.34,9988,190.829193733282,0,3038.80576640534,0,653.248393068861
"172281",8436008,514415,4295350,2760050,9.65677778808475,47.9535044258385,"08436008","084360008008","Aulendorf","DE148","0",8436008,84360008008,"Aulendorf, Stadt","Aulendorf, Stadt","suburban","peripher",52.34,9988,190.829193733282,0,0,0,0
"172261",8436008,514416,4296350,2760050,9.67015861025947,47.9535453927297,"08436008","084360008008","Aulendorf","DE148","0",8436008,84360008008,"Aulendorf, Stadt","Aulendorf, Stadt","suburban","peripher",52.34,9988,190.829193733282,0,0,0,0
"172287",8436008,514417,4297350,2760050,9.68353945160832,47.953584730749,"08436008","084360008008","Aulendorf","DE148","0",8436008,84360008008,"Aulendorf, Stadt","Aulendorf, Stadt","suburban","peripher",52.34,9988,190.829193733282,0,1341.28442357087,0,0
"172969",8436902,514418,4298350,2760050,9.69692031135351,47.9536224398927,"08436009","084365002009","Bad Waldsee","DE148","5",8436009,84365002009,"Bad Waldsee, Stadt","VVG der Stadt Bad Waldsee","suburban","peripher",131.7,23119,175.542900531511,0,2078.14599068606,0,0
"172957",8436902,514419,4299350,2760050,9.71030118871724,47.9536585201572,"08436009","084365002009","Bad Waldsee","DE148","5",8436009,84365002009,"Bad Waldsee, Stadt","VVG der Stadt Bad Waldsee","suburban","peripher",131.7,23119,175.542900531511,0,1477.61579682246,0,0
"172880",8436902,514420,4300350,2760050,9.72368208292172,47.9536929715391,"08436009","084365002009","Bad Waldsee","DE148","5",8436009,84365002009,"Bad Waldsee, Stadt","VVG der Stadt Bad Waldsee","suburban","peripher",131.7,23119,175.542900531511,0,0,0,0
"172866",8436902,514421,4301350,2760050,9.73706299318914,47.9537257940353,"08436009","084365002009","Bad Waldsee","DE148","5",8436009,84365002009,"Bad Waldsee, Stadt","VVG der Stadt Bad Waldsee","suburban","peripher",131.7,23119,175.542900531511,0,0,0,0
"172862",8436902,514422,4302350,2760050,9.75044391874166,47.9537569876426,"08436009","084365002009","Bad Waldsee","DE148","5",8436009,84365002009,"Bad Waldsee, Stadt","VVG der Stadt Bad Waldsee","suburban","peripher",131.7,23119,175.542900531511,1423.04959376672,0,0,0
"172869",8436902,514423,4303350,2760050,9.76382485880148,47.9537865523581,"08436009","084365002009","Bad Waldsee","DE148","5",8436009,84365002009,"Bad Waldsee, Stadt","VVG der Stadt Bad Waldsee","suburban","peripher",131.7,23119,175.542900531511,1978.60838382293,0,0,0
"172870",8436902,514424,4304350,2760050,9.77720581259075,47.9538144881791,"08436009","084365002009","Bad Waldsee","DE148","5",8436009,84365002009,"Bad Waldsee, Stadt","VVG der Stadt Bad Waldsee","suburban","peripher",131.7,23119,175.542900531511,0,0,0,0
