"AQeCode","Y","Year","Projection","Lon","Lat","Alt","AQeType","AQeArea","HighDens","LowDens","Ind","Transp","Seap","Airp","Constr","UrbGreen","Agri","Forest","AGS","PopDens","PriRoad","SecRoad","FedAuto","LocRoute","indRegions"
"DERP060",17.83194114,2015,"EPSG:4979",7.614573,49.191996,378,"background","urban",0,0.677215189873418,0,0,0,0,0,0,0.0126582278481013,0.310126582278481,"07317000",652.690813811549,0,2764.69283680499,0,0,"07"
"DESH008",9.42188995,2015,"EPSG:4979",10.240596,54.09323,45,"background","rural-regional",0,0,0,0,0,0,0,0,0.509554140127389,0.251592356687898,"01057005",25.9860617505669,0,0,0,0,"01"
"DESH022",33.30421051,2015,"EPSG:4979",9.43809,54.78143,15,"traffic","urban",0.105431309904153,0.814696485623003,0,0.0447284345047923,0,0,0,0.0223642172523962,0,0,"01001000",1746.04021410785,0,2122.48064032996,0,0,"01"
"DESH023",13.3995956,2015,"EPSG:4979",10.695936,53.835492,12,"background","urban",0,0.40952380952381,0.196825396825397,0,0,0,0,0.149206349206349,0.244444444444444,0,"01003000",1020.61876560094,1763.1193584739,0,0,0,"01"
"DESH025",36.42189095,2015,"EPSG:4979",9.511769,53.928028,11,"traffic","urban",0,0.794212218649518,0.180064308681672,0,0,0,0,0,0.0257234726688103,0,"01061046",1129.56707787057,3187.35099798186,0,0,0,"01"
"DESH027",41.24365129,2015,"EPSG:4979",10.135158,54.304676,8,"traffic","urban",0.0569620253164557,0.534810126582278,0.294303797468354,0.00316455696202532,0,0,0,0.0917721518987342,0,0.00632911392405063,"01002000",2193.6688050601,3381.48493630689,2382.80779913127,0,0,"01"
"DESH028",30.91536694,2015,"EPSG:4979",10.775796,53.698939,10,"traffic","urban",0.0897435897435897,0.259615384615385,0,0,0,0,0,0,0.00641025641025641,0.0416666666666667,"01053100",468.124403670317,2075.64785536256,0,0,0,"01"
"DESH030",42.70330354,2015,"EPSG:4979",9.997256,53.681993,26,"traffic","urban",0,0.80952380952381,0.0984126984126984,0,0,0,0,0.0507936507936508,0.0412698412698413,0,"01060063",1306.35288399921,2012.82286244438,0,0,0,"01"
"DESH033",15.93546396,2015,"EPSG:4979",10.116563,54.309674,29,"background","urban",0.0949367088607595,0.819620253164557,0.0221518987341772,0.0348101265822785,0,0,0,0.0284810126582278,0,0,"01002000",2193.6688050601,1997.666572605,478.113050198583,0,0,"01"
"DESH035",22.95946538,2015,"EPSG:4979",9.156908,53.896117,0,"industrial","suburban",0,0.373417721518987,0.0727848101265823,0,0,0,0,0,0.268987341772152,0,"01051011",258.567335934452,0,0,0,1953.63281369963,"01"
